iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 12, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,563,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"NYT","NEW YORK TIMES CLASS A","EQUITY","Communication","Equity","377,718,263.70","377,718,263.70","5,224,319.00","72.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"WBS","WEBSTER FINANCIAL CORP","EQUITY","Financials","Equity","372,792,360.24","372,792,360.24","5,215,338.00","71.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"BMRN","BIOMARIN PHARMACEUTICAL INC","EQUITY","Health Care","Equity","372,350,157.12","372,350,157.12","6,212,048.00","59.94","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"SPXC","SPX TECHNOLOGIES INC","EQUITY","Industrials","Equity","372,104,257.08","372,104,257.08","1,611,399.00","230.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"EXEL","EXELIXIS INC","EQUITY","Health Care","Equity","370,186,198.20","370,186,198.20","8,669,466.00","42.70","United States","NASDAQ","USD","1.00","USD","-","0.33","0.34"
"ALLY","ALLY FINANCIAL INC","EQUITY","Financials","Equity","370,102,350.93","370,102,350.93","9,064,471.00","40.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.34"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","EQUITY","Real Estate","Equity","368,784,148.20","368,784,148.20","2,808,714.00","131.30","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"EHC","ENCOMPASS HEALTH CORP","EQUITY","Health Care","Equity","364,581,270.82","364,581,270.82","3,253,447.00","112.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"CNH","CNH INDUSTRIAL N.V. NV","EQUITY","Industrials","Equity","363,121,989.66","363,121,989.66","28,614,814.00","12.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"NTNX","NUTANIX INC CLASS A","EQUITY","Information Technology","Equity","360,132,922.71","360,132,922.71","8,755,967.00","41.13","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"OC","OWENS CORNING","EQUITY","Industrials","Equity","359,396,984.56","359,396,984.56","2,657,672.00","135.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.33"
"FIVE","FIVE BELOW INC","EQUITY","Consumer Discretionary","Equity","358,823,676.96","358,823,676.96","1,783,152.00","201.23","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"FLS","FLOWSERVE CORP","EQUITY","Industrials","Equity","357,678,480.04","357,678,480.04","4,110,302.00","87.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"PINS","PINTEREST INC CLASS A","EQUITY","Communication","Equity","357,202,393.20","357,202,393.20","19,266,580.00","18.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"SCI","SERVICE","EQUITY","Consumer Discretionary","Equity","356,865,533.21","356,865,533.21","4,532,777.00","78.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"DT","DYNATRACE INC","EQUITY","Information Technology","Equity","356,412,435.44","356,412,435.44","9,748,699.00","36.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
